"MATNO","SESSION","GST111","GST112","CHM111","CHM113","MTH110","MTH112","PHY111","PHY113","GST121","GST122","GST123","CHM122","CHM124","MTH123","MTH125","PHY109","PHY124","FEES","PROBATION","OTHERS"
"ENG1002557",2011,"0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1",1,1,"0"
"ENG1002558",2011,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1",1,1,"0"
"ENG1002559",2011,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,"0"
"ENG1002566",2011,"0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1",1,1,"0"
"ENG1002568",2011,"0","0","1","1","0","1","1","1","0","0","0","1","1","1","0","0","1",1,1,"0"
"ENG1002571",2011,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,"0"
"ENG1002572",2011,"0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0",1,1,"0"
"ENG1002578",2011,"1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1",1,1,"0"
"ENG1002579",2011,"0","0","0","1","0","1","0","0","0","0","0","1","1","1","1","0","1",1,1,"0"
"ENG1002584",2011,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1",1,1,"0"
"ENG1002585",2011,"0","0","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0",1,1,"0"
"ENG1002586",2011,"1","1","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0",1,1,"0"
"ENG1002591",2011,"0","0","1","1","0","1","0","0","0","0","1","1","1","1","1","0","0",1,1,"0"
"ENG1002592",2011,"0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","1","0",1,1,"0"
"ENG1002598",2011,"0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0",1,1,"0"
"ENG1002600",2011,"0","0","0","1","0","1","1","0","0","0","0","1","1","1","0","0","1",1,1,"0"
"ENG1002602",2011,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1",1,1,"0"
"ENG1002606",2011,"1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1",1,1,"0"
"ENG1002609",2011,"0","0","0","1","0","1","1","0","0","0","0","0","1","1","1","0","1",1,1,"0"
"ENG1102472",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102473",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102474",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102475",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102476",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102477",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102478",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102479",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102480",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102482",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
