"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG0801911",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801912",2011,"CVE311","EMA381","MEE351",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801913",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801914",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801916",2011,"ECP281","MEE221","EEE317","MEE321",,,,,,,,,,,,,1,1,1,1,,1,0,"0"
"ENG0801918",2011,"EEE317","EMA381",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801920",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801921",2011,"ECP281","CVE311","EEE317","EMA381","MEE321","MEE351","PRE311",,,,,,,,,,,0,0,1,,1,0,"0"
"ENG0801923",2011,"ECP281","EMA381",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801924",2011,"ECP281","PRE211",,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801925",2011,"EEE317","MEE311","MEE321","MEE351",,,,,,,,,,,,,,0,1,1,,1,0,"0"
"ENG0801926",2011,"MEE321",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801929",2011,"PRE311",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801930",2011,"ECP281","MEE321","MEE351",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801933",2011,"MEE221","ELA201","EMA381","MEE351",,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801935",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801936",2011,"EMA381","MEE321","MEE351","PRE311",,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801937",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801938",2011,"EEE317","MEE311","MEE351","MEE361","PRE311",,,,,,,,,,,,,1,1,0,,1,0,"0"
"ENG0801940",2011,"ECP281","MEE351","PRE311",,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801941",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801943",2011,"EMA381",,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801944",2011,,,,,,,,,,,,,,,,,,1,1,1,,1,0,"0"
"ENG0801947",2011,"EEE317","MEE311","MEE321","PRE311",,,,,,,,,,,,,,1,0,1,,1,0,"0"
