COURSE_CODE,SESSION,MATNO,SCORE
MEE372,2018,ENG1704314,45
MEE372,2018,ENG1604254,62
MEE372,2018,ENG1407390,64
MEE372,2018,ENG1607674,46
MEE372,2018,ENG1604213,54
MEE372,2018,ENG1606990,45
MEE372,2018,ENG1604252,18
MEE372,2018,ENG1403789,48
MEE372,2018,ENG1709534,68
MEE372,2018,ENG1508359,70
MEE372,2018,ENG1403749,51
MEE372,2018,ENG1609165,54
MEE372,2018,ENG1604240,62
MEE372,2018,ENG1604274,3
MEE372,2018,ENG1704291,18
MEE372,2018,ENG1604242,54
MEE372,2018,ENG1403760,65
MEE372,2018,ENG1403780,48
MEE372,2018,ENG1604279,58
MEE372,2018,ENG1604272,48
MEE372,2018,ENG1607771,58
MEE372,2018,ENG1604235,72
MEE372,2018,ENG1403737,45
MEE372,2018,ENG1503945,68
MEE372,2018,ENG1604217,54
MEE372,2018,ENG1709844,62
MEE372,2018,ENG1709779,28
MEE372,2018,ENG1604256,85
MEE372,2018,ENG1403792,45
MEE372,2018,ENG1303693,14
MEE372,2018,ENG1604233,79
MEE372,2018,ENG1604269,48
MEE372,2018,ENG1607666,45
MEE372,2018,ENG1604226,68
MEE372,2018,ENG1604294,62
MEE372,2018,ENG1604264,64
MEE372,2018,ENG0702337,45
MEE372,2018,ENG1403820,10
MEE372,2018,ENG1604225,50
MEE372,2018,ENG1203141,7
MEE372,2018,ENG1604292,72
MEE372,2018,ENG1604262,45
MEE372,2018,ENG1403818,72
MEE372,2018,ENG1604228,24
MEE372,2018,ENG1105529,7
MEE372,2018,ENG1604265,45
MEE372,2018,ENG1403929,53
MEE372,2018,ENG1604348,36
MEE372,2018,ENG1708915,48
MEE372,2018,ENG1604244,72
MEE372,2018,ENG1403769,65
MEE372,2018,ENG1604284,72
MEE372,2018,ENG1603842,68
MEE372,2018,ENG1604229,45
MEE372,2018,ENG1604380,58
MEE372,2018,ENG1502862,72
MEE372,2018,ENG1604266,54
MEE372,2018,ENG1303667,14
MEE372,2018,ENG1604224,51
MEE372,2018,ENG1303646,72
MEE372,2018,ENG1604260,62
MEE372,2018,ENG1403808,58
MEE372,2018,ENG1604291,71
MEE372,2018,ENG1609423,27
MEE372,2018,ENG1403809,45
MEE372,2018,ENG1604259,58
MEE372,2018,ENG1604290,31
MEE372,2018,ENG1604222,31
MEE372,2018,ENG1604221,65
MEE372,2018,ENG1604258,18
MEE372,2018,ENG1403799,45
MEE372,2018,ENG1604288,51
MEE372,2018,ENG1407014,76
MEE372,2018,ENG1604230,58
MEE372,2018,ENG1303666,51
MEE372,2018,ENG1604267,10
MEE372,2018,ENG1604420,65
MEE372,2018,ENG1503456,45
MEE372,2018,ENG1604234,48
MEE372,2018,ENG1403795,45
MEE372,2018,ENG1604245,54
MEE372,2018,ENG1604271,65
MEE372,2018,ENG1709669,21
MEE372,2018,ENG1607847,71
MEE372,2018,ENG1604207,58
MEE372,2018,ENG1604232,51
MEE372,2018,ENG1604247,57
MEE372,2018,ENG1403775,65
MEE372,2018,ENG1604285,45
MEE372,2018,ENG1503890,76
EEE212,2018,ENG1604258,31
EEE212,2018,ENG1604276,65
EEE212,2018,ENG1604278,36
EEE212,2018,ENG1604280,51
EEE212,2018,ENG1604281,50
EEE212,2018,ENG1604285,48
EEE212,2018,ENG1604420,59
EEE212,2018,ENG1607457,54
EEE212,2018,ENG1607847,72
EEE212,2018,ENG1607891,56
EEE212,2018,ENG1608889,66
EEE212,2018,ENG1608890,35
EEE212,2018,ENG1608891,54
EEE212,2018,ENG1608892,31
EEE212,2018,ENG1609165,65
EEE212,2018,ENG1609423,43
EEE212,2018,ENG1704079,69
EEE212,2018,ENG1704137,38
EEE212,2018,ENG1704141,38
EEE212,2018,ENG1704255,34
EEE212,2018,ENG1704256,66
EEE212,2018,ENG1704257,68
EEE212,2018,ENG1704258,41
EEE212,2018,ENG1704259,59
EEE212,2018,ENG1704260,76
EEE212,2018,ENG1704261,57
EEE212,2018,ENG1704263,92
EEE212,2018,ENG1704265,49
EEE212,2018,ENG1704266,81
EEE212,2018,ENG1704267,65
EEE212,2018,ENG1704268,72
EEE212,2018,ENG1704269,38
EEE212,2018,ENG1704270,86
EEE212,2018,ENG1704271,55
EEE212,2018,ENG1704272,39
EEE212,2018,ENG1704273,60
EEE212,2018,ENG1704274,59
EEE212,2018,ENG1704275,86
EEE212,2018,ENG1704276,42
EEE212,2018,ENG1704277,48
EEE212,2018,ENG1704278,82
EEE212,2018,ENG1704279,51
EEE212,2018,ENG1704280,80
EEE212,2018,ENG1704282,60
EEE212,2018,ENG1704284,72
EEE212,2018,ENG1704285,84
EEE212,2018,ENG1704286,65
EEE212,2018,ENG1704287,58
EEE212,2018,ENG1704288,62
EEE212,2018,ENG1704289,66
EEE212,2018,ENG1704290,78
EEE212,2018,ENG1704292,85
EEE212,2018,ENG1704293,49
EEE212,2018,ENG1704294,56
EEE212,2018,ENG1704295,73
EEE212,2018,ENG1704296,48
EEE212,2018,ENG1704297,52
EEE212,2018,ENG1704298,58
EEE212,2018,ENG1704299,51
EEE212,2018,ENG1704300,29
EEE212,2018,ENG1704302,51
EEE212,2018,ENG1704303,66
EEE212,2018,ENG1704305,37
EEE212,2018,ENG1704306,49
EEE212,2018,ENG1704307,59
EEE212,2018,ENG1704309,51
EEE212,2018,ENG1704310,91
EEE212,2018,ENG1704313,55
EEE212,2018,ENG1704316,63
EEE212,2018,ENG1704317,86
EEE212,2018,ENG1704318,70
EEE212,2018,ENG1704319,59
EEE212,2018,ENG1704320,40
EEE212,2018,ENG1704321,46
EEE212,2018,ENG1704322,57
EEE212,2018,ENG1704323,77
EEE212,2018,ENG1704324,43
EEE212,2018,ENG1704325,31
EEE212,2018,ENG1704326,61
EEE212,2018,ENG1704327,64
EEE212,2018,ENG1704328,53
EEE212,2018,ENG1704329,40
EEE212,2018,ENG1704330,85
EEE212,2018,ENG1704332,48
EEE212,2018,ENG1704333,63
EEE212,2018,ENG1704334,57
EEE212,2018,ENG1704335,31
EEE212,2018,ENG1704336,56
EEE212,2018,ENG1704337,31
EEE212,2018,ENG1704338,45
EEE212,2018,ENG1704339,70
EEE212,2018,ENG1704340,50
EEE212,2018,ENG1704341,49
EEE212,2018,ENG1704342,56
EEE212,2018,ENG1704344,53
EEE212,2018,ENG1704345,55
EEE212,2018,ENG1704346,88
EEE212,2018,ENG1704347,62
EEE212,2018,ENG1704349,50
EEE212,2018,ENG1704350,35
EEE212,2018,ENG1704351,70
EEE212,2018,ENG1704352,67
EEE212,2018,ENG1704353,88
EEE212,2018,ENG1704355,66
EEE212,2018,ENG1704356,51
EEE212,2018,ENG1704357,66
EEE212,2018,ENG1704480,74
EEE212,2018,ENG1704515,62
EEE212,2018,ENG1707195,76
EEE212,2018,ENG1707206,39
EEE212,2018,ENG1707334,80
EEE212,2018,ENG1707690,55
EEE212,2018,ENG1707713,38
EEE212,2018,ENG1707716,60
EEE212,2018,ENG1707808,74
EEE212,2018,ENG1707835,85
EEE212,2018,ENG1707848,82
EEE212,2018,ENG1707865,98
EEE212,2018,ENG1707916,61
EEE212,2018,ENG1707947,67
EEE212,2018,ENG1707953,36
EEE212,2018,ENG1708897,51
EEE212,2018,ENG1708911,40
EEE212,2018,ENG1708912,44
EEE212,2018,ENG1708913,75
EEE212,2018,ENG1708914,57
EEE212,2018,ENG1708917,43
EEE212,2018,ENG1708918,65
EEE212,2018,ENG1709337,48
EEE212,2018,ENG1709339,45
EEE212,2018,ENG1709669,25
EEE212,2018,ENG1709712,47
EEE212,2018,ENG1805339,72
EEE212,2018,ENG1805341,19
EEE212,2018,ENG1805342,85
EEE212,2018,ENG1805367,65
EEE212,2018,ENG1805409,37
EEE212,2018,ENG1805414,84
EEE212,2018,ENG1805426,44
EEE212,2018,ENG1805429,55
EEE212,2018,ENG1805433,66
EEE212,2018,ENG1805435,52
EEE212,2018,ENG1805448,29
EEE212,2018,ENG1805452,78
EEE212,2018,ENG1805457,41
EEE212,2018,ENG1810523,51
EEE212,2018,ENG1810525,54
EEE212,2018,ENG1810526,67
EEE212,2018,ENG1810688,47
EEE212,2018,ENG1810809,44
MEE372,2018,ENG1604218,14
MEE372,2018,ENG1604283,60
MEE372,2018,ENG1403768,51
MEE372,2018,ENG1704304,55
MEE372,2018,ENG1508537,34
MEE372,2018,ENG1709338,48
MEE372,2018,ENG1604210,74
MEE372,2018,ENG1604248,62
MEE372,2018,ENG1403778,69
MEE372,2018,ENG1604286,4
MEE372,2018,ENG1403766,58
MEE372,2018,ENG1604243,83
MEE372,2018,ENG1704301,78
MEE372,2018,ENG1604281,48
MEE372,2018,ENG1508364,45
MEE372,2018,ENG1403739,45
MEE372,2018,ENG1507644,48
MEE372,2018,ENG1607960,51
MEE372,2018,ENG1604238,62
MEE372,2018,ENG1604273,83
MEE372,2018,ENG1508360,51
MEE372,2018,ENG1403758,76
MEE372,2018,ENG1604241,64
MEE372,2018,ENG1609284,31
MEE372,2018,ENG1604275,45
MEE372,2018,ENG1604211,28
MEE372,2018,ENG1709339,78
MEE372,2018,ENG1604250,62
MEE372,2018,ENG1604287,71
MEE372,2018,ENG1604216,45
MEE372,2018,ENG1708916,76
MEE372,2018,ENG1306689,24
MEE372,2018,ENG1607457,45
MEE372,2018,ENG1604268,53
MEE372,2018,ENG1503925,30
MEE372,2018,ENG1503923,30
CHM122,2018,ENG1303691,58
MEE512,2018,ENG1403780,71
MEE372,2018,ENG1403790,64
MEE372,2018,ENG1403799,45
MEE522,2018,ENG1203137,40
ELA401,2016,ENG1303639,60
MEE572,2018,ENG1403733,66
MEE522,2018,ENG1403733,58
PRE572,2018,ENG1407356,75
MEE501,2018,ENG1403809,71
MEE502,2018,ENG1403809,71
ELA202,2018,ENG1707835,67
,,ENG,
MTH110,2017,ENG1704079,66
MTH112,2017,ENG1704079,62
