"F1","F2","F3","F4"
"ENG0801917",32.00,"MEE522",2015.00
"ENG0902507",40.00,"MEE522",2015.00
"ENG0902537",70.00,"MEE522",2015.00
"ENG0902539",53.00,"MEE522",2015.00
"ENG0902546",64.00,"MEE522",2015.00
"ENG0902548",12.00,"MEE522",2015.00
"ENG0902564",70.00,"MEE522",2015.00
"ENG0902590",52.00,"MEE522",2015.00
"ENG1002514",68.00,"MEE522",2015.00
"ENG1002524",60.00,"MEE522",2015.00
"ENG1002530",50.00,"MEE522",2015.00
"ENG1002557",48.00,"MEE522",2015.00
"ENG1002558",74.00,"MEE522",2015.00
"ENG1002561",66.00,"MEE522",2015.00
"ENG1002566",56.00,"MEE522",2015.00
"ENG1002567",,"MEE522",2015.00
"ENG1002572",50.00,"MEE522",2015.00
"ENG1002584",,"MEE522",2015.00
"ENG1002597",54.00,"MEE522",2015.00
"ENG1002600",45.00,"MEE522",2015.00
"ENG1102473",57.00,"MEE522",2015.00
"ENG1102474",83.00,"MEE522",2015.00
"ENG1102475",81.00,"MEE522",2015.00
"ENG1102476",80.00,"MEE522",2015.00
"ENG1102477",50.00,"MEE522",2015.00
"ENG1102478",25.00,"MEE522",2015.00
"ENG1102482",63.00,"MEE522",2015.00
"ENG1102485",64.00,"MEE522",2015.00
"ENG1102486",70.00,"MEE522",2015.00
"ENG1102487",75.00,"MEE522",2015.00
"ENG1102489",62.00,"MEE522",2015.00
"ENG1102490",41.00,"MEE522",2015.00
"ENG1102491",60.00,"MEE522",2015.00
"ENG1102493",63.00,"MEE522",2015.00
"ENG1102494",37.00,"MEE522",2015.00
"ENG1102495",47.00,"MEE522",2015.00
"ENG1102496",52.00,"MEE522",2015.00
"ENG1102497",54.00,"MEE522",2015.00
"ENG1102499",65.00,"MEE522",2015.00
"ENG1102500",40.00,"MEE522",2015.00
"ENG1102501",28.00,"MEE522",2015.00
"ENG1102503",46.00,"MEE522",2015.00
"ENG1102504",68.00,"MEE522",2015.00
"ENG1102505",67.00,"MEE522",2015.00
"ENG1102506",51.00,"MEE522",2015.00
"ENG1102507",63.00,"MEE522",2015.00
"ENG1102508",60.00,"MEE522",2015.00
"ENG1102510",53.00,"MEE522",2015.00
"ENG1102511",82.00,"MEE522",2015.00
"ENG1102512",63.00,"MEE522",2015.00
"ENG1102513",54.00,"MEE522",2015.00
"ENG1102514",52.00,"MEE522",2015.00
"ENG1102515",60.00,"MEE522",2015.00
"ENG1102516",75.00,"MEE522",2015.00
"ENG1102517",63.00,"MEE522",2015.00
"ENG1102518",57.00,"MEE522",2015.00
"ENG1102519",54.00,"MEE522",2015.00
"ENG1102521",,"MEE522",2015.00
"ENG1102522",65.00,"MEE522",2015.00
"ENG1102523",67.00,"MEE522",2015.00
"ENG1102526",55.00,"MEE522",2015.00
"ENG1102527",61.00,"MEE522",2015.00
"ENG1102528",72.00,"MEE522",2015.00
"ENG1102529",74.00,"MEE522",2015.00
"ENG1102530",63.00,"MEE522",2015.00
"ENG1102531",50.00,"MEE522",2015.00
"ENG1102533",70.00,"MEE522",2015.00
"ENG1102534",56.00,"MEE522",2015.00
"ENG1102537",68.00,"MEE522",2015.00
"ENG1102538",77.00,"MEE522",2015.00
"ENG1102539",76.00,"MEE522",2015.00
"ENG1102540",65.00,"MEE522",2015.00
"ENG1102541",55.00,"MEE522",2015.00
"ENG1102543",17.00,"MEE522",2015.00
"ENG1102544",52.00,"MEE522",2015.00
"ENG1102546",80.00,"MEE522",2015.00
"ENG1103980",58.00,"MEE522",2015.00
"ENG1104416",57.00,"MEE522",2015.00
"ENG1105523",72.00,"MEE522",2015.00
"ENG1105524",65.00,"MEE522",2015.00
"ENG1105525",61.00,"MEE522",2015.00
"ENG1105526",60.00,"MEE522",2015.00
"ENG1105527",51.00,"MEE522",2015.00
"ENG1105528",8.00,"MEE522",2015.00
"ENG1105529",41.00,"MEE522",2015.00
"ENG1105530",43.00,"MEE522",2015.00
"ENG1105531",63.00,"MEE522",2015.00
"ENG1105691",72.00,"MEE522",2015.00
"ENG1106027",79.00,"MEE522",2015.00
"ENG1106029",55.00,"MEE522",2015.00
"ENG1106484",76.00,"MEE522",2015.00
"ENG1203066",53.00,"MEE522",2015.00
"ENG1203077",50.00,"MEE522",2015.00
"ENG1203109",60.00,"MEE522",2015.00
"ENG1203135",79.00,"MEE522",2015.00
"ENG1206125",34.00,"MEE522",2015.00
